id,prediction
19.0,1.0
35.0,0.0
44.0,1.0
58.0,0.0
80.0,0.0
85.0,0.0
108.0,1.0
121.0,1.0
128.0,1.0
130.0,0.0
137.0,1.0
139.0,1.0
149.0,0.0
163.0,0.0
168.0,1.0
171.0,0.0
178.0,1.0
197.0,0.0
212.0,1.0
219.0,0.0
220.0,1.0
233.0,0.0
237.0,0.0
241.0,1.0
265.0,0.0
282.0,1.0
283.0,0.0
287.0,1.0
291.0,1.0
303.0,0.0
304.0,1.0
314.0,0.0
353.0,0.0
354.0,1.0
411.0,1.0
416.0,0.0
420.0,1.0
429.0,1.0
432.0,0.0
438.0,0.0
444.0,1.0
447.0,0.0
464.0,0.0
470.0,0.0
480.0,0.0
494.0,1.0
495.0,0.0
502.0,0.0
509.0,0.0
512.0,0.0
525.0,0.0
545.0,0.0
551.0,1.0
556.0,1.0
572.0,1.0
581.0,1.0
590.0,0.0
599.0,0.0
603.0,0.0
605.0,0.0
606.0,1.0
612.0,1.0
616.0,0.0
625.0,1.0
635.0,1.0
640.0,1.0
652.0,1.0
655.0,0.0
658.0,1.0
665.0,1.0
684.0,1.0
691.0,1.0
692.0,1.0
694.0,1.0
706.0,0.0
709.0,0.0
720.0,1.0
732.0,1.0
737.0,1.0
743.0,0.0
765.0,0.0
774.0,0.0
777.0,0.0
808.0,0.0
810.0,0.0
829.0,1.0
844.0,0.0
859.0,1.0
868.0,1.0
906.0,1.0
907.0,1.0
926.0,0.0
937.0,1.0
942.0,1.0
949.0,1.0
952.0,1.0
960.0,1.0
989.0,1.0
994.0,1.0
999.0,1.0
1038.0,1.0
1046.0,1.0
1051.0,1.0
1066.0,1.0
1073.0,1.0
1074.0,1.0
1077.0,1.0
1084.0,1.0
1094.0,1.0
1111.0,1.0
1114.0,0.0
1122.0,1.0
1123.0,1.0
1133.0,1.0
1141.0,1.0
1143.0,0.0
1160.0,1.0
1173.0,1.0
1189.0,0.0
1190.0,1.0
1191.0,1.0
1224.0,1.0
1260.0,1.0
1266.0,1.0
1269.0,1.0
1278.0,0.0
1288.0,0.0
1297.0,0.0
1349.0,1.0
1351.0,1.0
